Jurisdiction,ML code,Medicare Local,Peer group,Quarter,Number of checks,Indigenous population,Usage
NSW,ML107,Northern Sydney,Metro 1,2013Q2,34,"1,328",10.2%
NSW,ML108,Sydney North Shore and Beaches,Metro 1,2011Q3,9,"1,653",2.2%
NSW,ML108,Sydney North Shore and Beaches,Metro 1,2011Q4,9,"1,653",2.2%
NSW,ML108,Sydney North Shore and Beaches,Metro 1,2012Q1,13,"1,653",3.1%
NSW,ML108,Sydney North Shore and Beaches,Metro 1,2012Q2,5,"1,653",1.2%
NSW,ML108,Sydney North Shore and Beaches,Metro 1,2012Q3,4,"1,653",1.0%
NSW,ML108,Sydney North Shore and Beaches,Metro 1,2012Q4,,"1,653",
NSW,ML108,Sydney North Shore and Beaches,Metro 1,2013Q1,13,"1,653",3.1%
NSW,ML108,Sydney North Shore and Beaches,Metro 1,2013Q2,13,"1,653",3.1%
NSW,ML109,Central Coast NSW,Regional 1,2011Q3,91,"10,935",3.3%
NSW,ML109,Central Coast NSW,Regional 1,2011Q4,95,"10,935",3.5%
NSW,ML109,Central Coast NSW,Regional 1,2012Q1,100,"10,935",3.7%
NSW,ML109,Central Coast NSW,Regional 1,2012Q2,148,"10,935",5.4%
NSW,ML109,Central Coast NSW,Regional 1,2012Q3,126,"10,935",4.6%
NSW,ML109,Central Coast NSW,Regional 1,2012Q4,117,"10,935",4.3%
NSW,ML109,Central Coast NSW,Regional 1,2013Q1,162,"10,935",5.9%
NSW,ML109,Central Coast NSW,Regional 1,2013Q2,170,"10,935",6.2%
NSW,ML110,Illawarra - Shoalhaven,Regional 1,2011Q3,305,"12,898",9.5%
NSW,ML110,Illawarra - Shoalhaven,Regional 1,2011Q4,422,"12,898",13.1%
NSW,ML110,Illawarra - Shoalhaven,Regional 1,2012Q1,458,"12,898",14.2%
NSW,ML110,Illawarra - Shoalhaven,Regional 1,2012Q2,449,"12,898",13.9%
NSW,ML110,Illawarra - Shoalhaven,Regional 1,2012Q3,535,"12,898",16.6%
NSW,ML110,Illawarra - Shoalhaven,Regional 1,2012Q4,538,"12,898",16.7%
NSW,ML110,Illawarra - Shoalhaven,Regional 1,2013Q1,513,"12,898",15.9%
NSW,ML110,Illawarra - Shoalhaven,Regional 1,2013Q2,551,"12,898",17.1%
NSW,ML111,Hunter,Regional 1,2011Q3,416,"27,872",6.0%
NSW,ML111,Hunter,Regional 1,2011Q4,426,"27,872",6.1%
NSW,ML111,Hunter,Regional 1,2012Q1,524,"27,872",7.5%
NSW,ML111,Hunter,Regional 1,2012Q2,751,"27,872",10.8%
NSW,ML111,Hunter,Regional 1,2012Q3,659,"27,872",9.5%
NSW,ML111,Hunter,Regional 1,2012Q4,680,"27,872",9.8%
NSW,ML111,Hunter,Regional 1,2013Q1,770,"27,872",11.1%
NSW,ML111,Hunter,Regional 1,2013Q2,919,"27,872",13.2%
NSW,ML113,North Coast NSW,Regional 2,2011Q3,"1,050","25,797",16.3%
NSW,ML113,North Coast NSW,Regional 2,2011Q4,"1,203","25,797",18.7%
NSW,ML113,North Coast NSW,Regional 2,2012Q1,"1,390","25,797",21.6%
NSW,ML113,North Coast NSW,Regional 2,2012Q2,"1,307","25,797",20.3%
NSW,ML113,North Coast NSW,Regional 2,2012Q3,"1,532","25,797",23.8%
NSW,ML113,North Coast NSW,Regional 2,2012Q4,"1,394","25,797",21.6%
NSW,ML113,North Coast NSW,Regional 2,2013Q1,"1,452","25,797",22.5%
NSW,ML113,North Coast NSW,Regional 2,2013Q2,"1,529","25,797",23.7%
NSW,ML114,New England,Regional 2,2011Q3,641,"19,082",13.4%
NSW,ML114,New England,Regional 2,2011Q4,671,"19,082",14.1%
NSW,ML114,New England,Regional 2,2012Q1,881,"19,082",18.5%
NSW,ML114,New England,Regional 2,2012Q2,839,"19,082",17.6%
NSW,ML114,New England,Regional 2,2012Q3,708,"19,082",14.8%
NSW,ML114,New England,Regional 2,2012Q4,774,"19,082",16.2%
NSW,ML114,New England,Regional 2,2013Q1,744,"19,082",15.6%
NSW,ML114,New England,Regional 2,2013Q2,852,"19,082",17.9%
NSW,ML115,Western NSW,Regional 2,2011Q3,"1,512","24,625",24.6%
NSW,ML115,Western NSW,Regional 2,2011Q4,"1,407","24,625",22.9%
NSW,ML115,Western NSW,Regional 2,2012Q1,"1,284","24,625",20.9%
NSW,ML115,Western NSW,Regional 2,2012Q2,"1,752","24,625",28.5%
NSW,ML115,Western NSW,Regional 2,2012Q3,"1,876","24,625",30.5%
NSW,ML115,Western NSW,Regional 2,2012Q4,"1,496","24,625",24.3%
NSW,ML115,Western NSW,Regional 2,2013Q1,"1,611","24,625",26.2%
NSW,ML115,Western NSW,Regional 2,2013Q2,"2,157","24,625",35.0%
NSW,ML116,Murrumbidgee,Regional 2,2011Q3,389,"10,021",15.5%
NSW,ML116,Murrumbidgee,Regional 2,2011Q4,297,"10,021",11.9%
NSW,ML116,Murrumbidgee,Regional 2,2012Q1,559,"10,021",22.3%
NSW,ML116,Murrumbidgee,Regional 2,2012Q2,506,"10,021",20.2%
NSW,ML116,Murrumbidgee,Regional 2,2012Q3,507,"10,021",20.2%
NSW,ML116,Murrumbidgee,Regional 2,2012Q4,423,"10,021",16.9%
NSW,ML116,Murrumbidgee,Regional 2,2013Q1,526,"10,021",21.0%
NSW,ML116,Murrumbidgee,Regional 2,2013Q2,561,"10,021",22.4%
NSW,ML117,Southern NSW,Regional 2,2011Q3,104,"6,857",6.1%
NSW,ML117,Southern NSW,Regional 2,2011Q4,266,"6,857",15.5%
NSW,ML117,Southern NSW,Regional 2,2012Q1,157,"6,857",9.2%
NSW,ML117,Southern NSW,Regional 2,2012Q2,218,"6,857",12.7%
NSW,ML117,Southern NSW,Regional 2,2012Q3,195,"6,857",11.4%
NSW,ML117,Southern NSW,Regional 2,2012Q4,252,"6,857",14.7%
NSW,ML117,Southern NSW,Regional 2,2013Q1,274,"6,857",16.0%
NSW,ML117,Southern NSW,Regional 2,2013Q2,306,"6,857",17.9%
NSW,ML118,Far West NSW,Rural 1,2011Q3,775,"8,033",38.6%
NSW,ML118,Far West NSW,Rural 1,2011Q4,623,"8,033",31.0%
NSW,ML118,Far West NSW,Rural 1,2012Q1,566,"8,033",28.2%
NSW,ML118,Far West NSW,Rural 1,2012Q2,634,"8,033",31.6%
NSW,ML118,Far West NSW,Rural 1,2012Q3,626,"8,033",31.2%
NSW,ML118,Far West NSW,Rural 1,2012Q4,659,"8,033",32.8%
NSW,ML118,Far West NSW,Rural 1,2013Q1,489,"8,033",24.3%
NSW,ML118,Far West NSW,Rural 1,2013Q2,783,"8,033",39.0%
Vic,ML201,Inner North West Melbourne,Metro 1,2011Q3,36,"2,116",6.8%
Vic,ML201,Inner North West Melbourne,Metro 1,2011Q4,55,"2,116",10.4%
Vic,ML201,Inner North West Melbourne,Metro 1,2012Q1,50,"2,116",9.5%
Vic,ML201,Inner North West Melbourne,Metro 1,2012Q2,69,"2,116",13.0%
Vic,ML201,Inner North West Melbourne,Metro 1,2012Q3,41,"2,116",7.8%
Vic,ML201,Inner North West Melbourne,Metro 1,2012Q4,78,"2,116",14.7%
Vic,ML201,Inner North West Melbourne,Metro 1,2013Q1,77,"2,116",14.6%
Vic,ML201,Inner North West Melbourne,Metro 1,2013Q2,93,"2,116",17.6%
Vic,ML202,Bayside,Metro 1,2011Q3,12,"1,627",3.0%
Vic,ML202,Bayside,Metro 1,2011Q4,3,"1,627",0.7%
Vic,ML202,Bayside,Metro 1,2012Q1,15,"1,627",3.7%
Vic,ML202,Bayside,Metro 1,2012Q2,9,"1,627",2.2%
Vic,ML202,Bayside,Metro 1,2012Q3,18,"1,627",4.4%
Vic,ML202,Bayside,Metro 1,2012Q4,12,"1,627",3.0%
Vic,ML202,Bayside,Metro 1,2013Q1,25,"1,627",6.1%
Vic,ML202,Bayside,Metro 1,2013Q2,7,"1,627",1.7%
Vic,ML203,South Western Melbourne,Metro 2,2011Q3,,"1,960",
Vic,ML203,South Western Melbourne,Metro 2,2011Q4,18,"1,960",3.7%
Vic,ML203,South Western Melbourne,Metro 2,2012Q1,47,"1,960",9.6%
Vic,ML203,South Western Melbourne,Metro 2,2012Q2,43,"1,960",8.8%
Vic,ML203,South Western Melbourne,Metro 2,2012Q3,39,"1,960",8.0%
Vic,ML203,South Western Melbourne,Metro 2,2012Q4,,"1,960",
Vic,ML203,South Western Melbourne,Metro 2,2013Q1,75,"1,960",15.3%
Vic,ML203,South Western Melbourne,Metro 2,2013Q2,114,"1,960",23.3%
Vic,ML204,Macedon Ranges and North Western Melbourne,Metro 3,2011Q3,62,"3,131",7.9%
Vic,ML204,Macedon Ranges and North Western Melbourne,Metro 3,2011Q4,51,"3,131",6.5%
Vic,ML204,Macedon Ranges and North Western Melbourne,Metro 3,2012Q1,50,"3,131",6.4%
Vic,ML204,Macedon Ranges and North Western Melbourne,Metro 3,2012Q2,72,"3,131",9.2%
Vic,ML204,Macedon Ranges and North Western Melbourne,Metro 3,2012Q3,96,"3,131",12.3%
Vic,ML204,Macedon Ranges and North Western Melbourne,Metro 3,2012Q4,53,"3,131",6.8%
Vic,ML204,Macedon Ranges and North Western Melbourne,Metro 3,2013Q1,43,"3,131",5.5%
Vic,ML204,Macedon Ranges and North Western Melbourne,Metro 3,2013Q2,108,"3,131",13.8%
Vic,ML205,Northern Melbourne,Metro 3,2011Q3,25,"4,983",2.0%
Vic,ML205,Northern Melbourne,Metro 3,2011Q4,47,"4,983",3.8%
Vic,ML205,Northern Melbourne,Metro 3,2012Q1,77,"4,983",6.2%
Vic,ML205,Northern Melbourne,Metro 3,2012Q2,44,"4,983",3.5%
Vic,ML205,Northern Melbourne,Metro 3,2012Q3,49,"4,983",3.9%
Vic,ML205,Northern Melbourne,Metro 3,2012Q4,65,"4,983",5.2%
Vic,ML205,Northern Melbourne,Metro 3,2013Q1,82,"4,983",6.6%
Vic,ML205,Northern Melbourne,Metro 3,2013Q2,85,"4,983",6.8%
Vic,ML206,Inner East Melbourne,Metro 1,2011Q3,,"1,318",
Vic,ML206,Inner East Melbourne,Metro 1,2011Q4,17,"1,318",5.2%
Vic,ML206,Inner East Melbourne,Metro 1,2012Q1,6,"1,318",1.8%
Vic,ML206,Inner East Melbourne,Metro 1,2012Q2,18,"1,318",5.5%
Vic,ML206,Inner East Melbourne,Metro 1,2012Q3,20,"1,318",6.1%
Vic,ML206,Inner East Melbourne,Metro 1,2012Q4,13,"1,318",3.9%
Vic,ML206,Inner East Melbourne,Metro 1,2013Q1,16,"1,318",4.9%
Vic,ML206,Inner East Melbourne,Metro 1,2013Q2,27,"1,318",8.2%
Vic,ML207,Eastern Melbourne,Metro 2,2011Q3,17,"2,365",2.9%
Vic,ML207,Eastern Melbourne,Metro 2,2011Q4,26,"2,365",4.4%
Vic,ML207,Eastern Melbourne,Metro 2,2012Q1,37,"2,365",6.3%
Vic,ML207,Eastern Melbourne,Metro 2,2012Q2,23,"2,365",3.9%
Vic,ML207,Eastern Melbourne,Metro 2,2012Q3,24,"2,365",4.1%
Vic,ML207,Eastern Melbourne,Metro 2,2012Q4,17,"2,365",2.9%
Vic,ML207,Eastern Melbourne,Metro 2,2013Q1,27,"2,365",4.6%
Vic,ML207,Eastern Melbourne,Metro 2,2013Q2,26,"2,365",4.4%
Vic,ML208,South Eastern Melbourne,Metro 3,2011Q3,84,"2,920",11.5%
Vic,ML208,South Eastern Melbourne,Metro 3,2011Q4,82,"2,920",11.2%
Vic,ML208,South Eastern Melbourne,Metro 3,2012Q1,106,"2,920",14.5%
Vic,ML208,South Eastern Melbourne,Metro 3,2012Q2,68,"2,920",9.3%
Vic,ML208,South Eastern Melbourne,Metro 3,2012Q3,61,"2,920",8.4%
Vic,ML208,South Eastern Melbourne,Metro 3,2012Q4,57,"2,920",7.8%
Vic,ML208,South Eastern Melbourne,Metro 3,2013Q1,30,"2,920",4.1%
Vic,ML208,South Eastern Melbourne,Metro 3,2013Q2,53,"2,920",7.3%
Vic,ML209,Frankston - Mornington Peninsula,Regional 1,2011Q3,,"2,507",
Vic,ML209,Frankston - Mornington Peninsula,Regional 1,2011Q4,4,"2,507",0.6%
Vic,ML209,Frankston - Mornington Peninsula,Regional 1,2012Q1,4,"2,507",0.6%
Vic,ML209,Frankston - Mornington Peninsula,Regional 1,2012Q2,6,"2,507",1.0%
Vic,ML209,Frankston - Mornington Peninsula,Regional 1,2012Q3,12,"2,507",1.9%
Vic,ML209,Frankston - Mornington Peninsula,Regional 1,2012Q4,4,"2,507",0.6%
Vic,ML209,Frankston - Mornington Peninsula,Regional 1,2013Q1,11,"2,507",1.8%
Vic,ML209,Frankston - Mornington Peninsula,Regional 1,2013Q2,34,"2,507",5.4%
Vic,ML210,Barwon,Regional 1,2011Q3,36,"2,700",5.3%
Vic,ML210,Barwon,Regional 1,2011Q4,19,"2,700",2.8%
Vic,ML210,Barwon,Regional 1,2012Q1,14,"2,700",2.1%
Vic,ML210,Barwon,Regional 1,2012Q2,47,"2,700",7.0%
Vic,ML210,Barwon,Regional 1,2012Q3,49,"2,700",7.3%
Vic,ML210,Barwon,Regional 1,2012Q4,45,"2,700",6.7%
Vic,ML210,Barwon,Regional 1,2013Q1,46,"2,700",6.8%
Vic,ML210,Barwon,Regional 1,2013Q2,46,"2,700",6.8%
Vic,ML211,Grampians,Regional 2,2011Q3,101,"2,843",14.2%
Vic,ML211,Grampians,Regional 2,2011Q4,107,"2,843",15.1%
Vic,ML211,Grampians,Regional 2,2012Q1,107,"2,843",15.1%
Vic,ML211,Grampians,Regional 2,2012Q2,133,"2,843",18.7%
Vic,ML211,Grampians,Regional 2,2012Q3,153,"2,843",21.5%
Vic,ML211,Grampians,Regional 2,2012Q4,179,"2,843",25.2%
Vic,ML211,Grampians,Regional 2,2013Q1,110,"2,843",15.5%
Vic,ML211,Grampians,Regional 2,2013Q2,104,"2,843",14.6%
Vic,ML212,Great South Coast,Regional 2,2011Q3,59,"1,714",13.8%
Vic,ML212,Great South Coast,Regional 2,2011Q4,137,"1,714",32.0%
Vic,ML212,Great South Coast,Regional 2,2012Q1,150,"1,714",35.0%
Vic,ML212,Great South Coast,Regional 2,2012Q2,134,"1,714",31.3%
Vic,ML212,Great South Coast,Regional 2,2012Q3,116,"1,714",27.1%
Vic,ML212,Great South Coast,Regional 2,2012Q4,195,"1,714",45.5%
Vic,ML212,Great South Coast,Regional 2,2013Q1,127,"1,714",29.6%
Vic,ML212,Great South Coast,Regional 2,2013Q2,146,"1,714",34.1%
Vic,ML213,Lower Murray,Rural 1,2011Q3,173,"3,709",18.7%
Vic,ML213,Lower Murray,Rural 1,2011Q4,214,"3,709",23.1%
Vic,ML213,Lower Murray,Rural 1,2012Q1,211,"3,709",22.8%
Vic,ML213,Lower Murray,Rural 1,2012Q2,247,"3,709",26.6%
Vic,ML213,Lower Murray,Rural 1,2012Q3,143,"3,709",15.4%
Vic,ML213,Lower Murray,Rural 1,2012Q4,173,"3,709",18.7%
Vic,ML213,Lower Murray,Rural 1,2013Q1,205,"3,709",22.1%
Vic,ML213,Lower Murray,Rural 1,2013Q2,253,"3,709",27.3%
Vic,ML214,Loddon - Mallee - Murray,Regional 2,2011Q3,84,"4,814",7.0%
Vic,ML214,Loddon - Mallee - Murray,Regional 2,2011Q4,128,"4,814",10.6%
Vic,ML214,Loddon - Mallee - Murray,Regional 2,2012Q1,84,"4,814",7.0%
Vic,ML214,Loddon - Mallee - Murray,Regional 2,2012Q2,64,"4,814",5.3%
Vic,ML214,Loddon - Mallee - Murray,Regional 2,2012Q3,85,"4,814",7.1%
Vic,ML214,Loddon - Mallee - Murray,Regional 2,2012Q4,199,"4,814",16.5%
Vic,ML214,Loddon - Mallee - Murray,Regional 2,2013Q1,129,"4,814",10.7%
Vic,ML214,Loddon - Mallee - Murray,Regional 2,2013Q2,139,"4,814",11.6%
Vic,ML215,Goulburn Valley,Regional 2,2011Q3,68,"3,837",7.1%
Vic,ML215,Goulburn Valley,Regional 2,2011Q4,80,"3,837",8.3%
Vic,ML215,Goulburn Valley,Regional 2,2012Q1,77,"3,837",8.0%
Vic,ML215,Goulburn Valley,Regional 2,2012Q2,94,"3,837",9.8%
Vic,ML215,Goulburn Valley,Regional 2,2012Q3,118,"3,837",12.3%
Vic,ML215,Goulburn Valley,Regional 2,2012Q4,186,"3,837",19.4%
Vic,ML215,Goulburn Valley,Regional 2,2013Q1,180,"3,837",18.8%
Vic,ML215,Goulburn Valley,Regional 2,2013Q2,198,"3,837",20.6%
Vic,ML216,Hume,Regional 2,2011Q3,89,"3,818",9.3%
Vic,ML216,Hume,Regional 2,2011Q4,67,"3,818",7.0%
Vic,ML216,Hume,Regional 2,2012Q1,81,"3,818",8.5%
Vic,ML216,Hume,Regional 2,2012Q2,117,"3,818",12.3%
Vic,ML216,Hume,Regional 2,2012Q3,110,"3,818",11.5%
Vic,ML216,Hume,Regional 2,2012Q4,107,"3,818",11.2%
Vic,ML216,Hume,Regional 2,2013Q1,105,"3,818",11.0%
Vic,ML216,Hume,Regional 2,2013Q2,109,"3,818",11.4%
Vic,ML217,Gippsland,Regional 2,2011Q3,76,"4,637",6.6%
Vic,ML217,Gippsland,Regional 2,2011Q4,98,"4,637",8.5%
Vic,ML217,Gippsland,Regional 2,2012Q1,93,"4,637",8.0%
Vic,ML217,Gippsland,Regional 2,2012Q2,49,"4,637",4.2%
Vic,ML217,Gippsland,Regional 2,2012Q3,55,"4,637",4.7%
Vic,ML217,Gippsland,Regional 2,2012Q4,93,"4,637",8.0%
Vic,ML217,Gippsland,Regional 2,2013Q1,145,"4,637",12.5%
Vic,ML217,Gippsland,Regional 2,2013Q2,113,"4,637",9.7%
Qld,ML301,Metro North Brisbane,Metro 2,2011Q3,792,"17,629",18.0%
Qld,ML301,Metro North Brisbane,Metro 2,2011Q4,697,"17,629",15.8%
Qld,ML301,Metro North Brisbane,Metro 2,2012Q1,787,"17,629",17.9%
Qld,ML301,Metro North Brisbane,Metro 2,2012Q2,850,"17,629",19.3%
Qld,ML301,Metro North Brisbane,Metro 2,2012Q3,853,"17,629",19.4%
Qld,ML301,Metro North Brisbane,Metro 2,2012Q4,847,"17,629",19.2%
Qld,ML301,Metro North Brisbane,Metro 2,2013Q1,"1,301","17,629",29.5%
Qld,ML301,Metro North Brisbane,Metro 2,2013Q2,"1,461","17,629",33.1%
Qld,ML302,Greater Metro South Brisbane,Metro 2,2011Q3,815,"20,862",15.6%
Qld,ML302,Greater Metro South Brisbane,Metro 2,2011Q4,592,"20,862",11.4%
Qld,ML302,Greater Metro South Brisbane,Metro 2,2012Q1,"1,180","20,862",22.6%
Qld,ML302,Greater Metro South Brisbane,Metro 2,2012Q2,"1,127","20,862",21.6%
Qld,ML302,Greater Metro South Brisbane,Metro 2,2012Q3,"1,167","20,862",22.4%
Qld,ML302,Greater Metro South Brisbane,Metro 2,2012Q4,"1,183","20,862",22.7%
Qld,ML302,Greater Metro South Brisbane,Metro 2,2013Q1,"1,190","20,862",22.8%
Qld,ML302,Greater Metro South Brisbane,Metro 2,2013Q2,"1,190","20,862",22.8%
Qld,ML303,Gold Coast,Metro 2,2011Q3,176,"7,802",9.0%
Qld,ML303,Gold Coast,Metro 2,2011Q4,240,"7,802",12.3%
Qld,ML303,Gold Coast,Metro 2,2012Q1,214,"7,802",11.0%
Qld,ML303,Gold Coast,Metro 2,2012Q2,327,"7,802",16.8%
Qld,ML303,Gold Coast,Metro 2,2012Q3,354,"7,802",18.2%
Qld,ML303,Gold Coast,Metro 2,2012Q4,380,"7,802",19.5%
Qld,ML303,Gold Coast,Metro 2,2013Q1,492,"7,802",25.2%
Qld,ML303,Gold Coast,Metro 2,2013Q2,530,"7,802",27.2%
Qld,ML304,Sunshine Coast,Regional 1,2011Q3,167,"7,051",9.5%
Qld,ML304,Sunshine Coast,Regional 1,2011Q4,139,"7,051",7.9%
Qld,ML304,Sunshine Coast,Regional 1,2012Q1,156,"7,051",8.8%
Qld,ML304,Sunshine Coast,Regional 1,2012Q2,253,"7,051",14.4%
Qld,ML304,Sunshine Coast,Regional 1,2012Q3,284,"7,051",16.1%
Qld,ML304,Sunshine Coast,Regional 1,2012Q4,193,"7,051",10.9%
Qld,ML304,Sunshine Coast,Regional 1,2013Q1,152,"7,051",8.6%
Qld,ML304,Sunshine Coast,Regional 1,2013Q2,155,"7,051",8.8%
Qld,ML305,West Moreton - Oxley,Metro 3,2011Q3,606,"12,920",18.8%
Qld,ML305,West Moreton - Oxley,Metro 3,2011Q4,478,"12,920",14.8%
Qld,ML305,West Moreton - Oxley,Metro 3,2012Q1,614,"12,920",19.0%
Qld,ML305,West Moreton - Oxley,Metro 3,2012Q2,516,"12,920",16.0%
Qld,ML305,West Moreton - Oxley,Metro 3,2012Q3,654,"12,920",20.2%
Qld,ML305,West Moreton - Oxley,Metro 3,2012Q4,454,"12,920",14.1%
Qld,ML305,West Moreton - Oxley,Metro 3,2013Q1,526,"12,920",16.3%
Qld,ML305,West Moreton - Oxley,Metro 3,2013Q2,625,"12,920",19.3%
Qld,ML306,Darling Downs - South West Queensland,Regional 2,2011Q3,393,"16,841",9.3%
Qld,ML306,Darling Downs - South West Queensland,Regional 2,2011Q4,595,"16,841",14.1%
Qld,ML306,Darling Downs - South West Queensland,Regional 2,2012Q1,539,"16,841",12.8%
Qld,ML306,Darling Downs - South West Queensland,Regional 2,2012Q2,503,"16,841",11.9%
Qld,ML306,Darling Downs - South West Queensland,Regional 2,2012Q3,502,"16,841",11.9%
Qld,ML306,Darling Downs - South West Queensland,Regional 2,2012Q4,430,"16,841",10.2%
Qld,ML306,Darling Downs - South West Queensland,Regional 2,2013Q1,761,"16,841",18.1%
Qld,ML306,Darling Downs - South West Queensland,Regional 2,2013Q2,942,"16,841",22.4%
Qld,ML307,Wide Bay,Regional 2,2011Q3,153,"8,425",7.3%
Qld,ML307,Wide Bay,Regional 2,2011Q4,153,"8,425",7.3%
Qld,ML307,Wide Bay,Regional 2,2012Q1,198,"8,425",9.4%
Qld,ML307,Wide Bay,Regional 2,2012Q2,366,"8,425",17.4%
Qld,ML307,Wide Bay,Regional 2,2012Q3,303,"8,425",14.4%
Qld,ML307,Wide Bay,Regional 2,2012Q4,282,"8,425",13.4%
Qld,ML307,Wide Bay,Regional 2,2013Q1,253,"8,425",12.0%
Qld,ML307,Wide Bay,Regional 2,2013Q2,378,"8,425",17.9%
Qld,ML308,Central Queensland,Rural 1,2011Q3,718,"12,699",22.6%
Qld,ML308,Central Queensland,Rural 1,2011Q4,669,"12,699",21.1%
Qld,ML308,Central Queensland,Rural 1,2012Q1,843,"12,699",26.6%
Qld,ML308,Central Queensland,Rural 1,2012Q2,807,"12,699",25.4%
Qld,ML308,Central Queensland,Rural 1,2012Q3,"1,128","12,699",35.5%
Qld,ML308,Central Queensland,Rural 1,2012Q4,787,"12,699",24.8%
Qld,ML308,Central Queensland,Rural 1,2013Q1,"1,002","12,699",31.6%
Qld,ML308,Central Queensland,Rural 1,2013Q2,"1,145","12,699",36.1%
Qld,ML309,Central and North West Queensland,Rural 2,2011Q3,498,"10,119",19.7%
Qld,ML309,Central and North West Queensland,Rural 2,2011Q4,470,"10,119",18.6%
