region_id,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,PI1_199_M,PI1_199_F,PI1_199_P,PI200_299_M,PI200_299_F,PI200_299_P,PI300_399_M,PI300_399_F,PI300_399_P,PI400_599_M,PI400_599_F,PI400_599_P,PI600_799_M,PI600_799_F,PI600_799_P,PI800_999_M,PI800_999_F,PI800_999_P,PI1000_more_M,PI1000_more_F,PI1000_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
LGA13100,152,117,269,125,152,277,122,165,287,117,182,299,120,190,310,116,133,249,98,61,159,226,132,358,81,73,154,1157,1205,2362
LGA13310,24,22,46,30,26,56,25,32,57,26,34,60,19,41,60,25,22,47,16,11,27,33,31,64,103,16,119,301,235,536
LGA13320,38,38,76,59,64,123,68,78,146,55,88,143,51,80,131,46,40,86,24,17,41,52,20,72,30,25,55,423,450,873
LGA13340,9,9,18,3,3,6,4,6,10,13,12,25,0,10,10,6,3,9,4,0,4,11,9,20,0,5,5,50,57,107
LGA13380,57,64,121,106,113,219,160,183,343,108,127,235,68,126,194,64,60,124,27,30,57,55,35,90,43,68,111,688,806,1494
LGA13450,24,20,44,25,37,62,51,68,119,35,70,105,38,48,86,34,25,59,36,20,56,28,26,54,41,32,73,312,346,658
LGA13500,3,3,6,5,3,8,3,13,16,3,3,6,0,6,6,6,3,9,3,0,3,3,0,3,0,0,0,26,31,57
LGA13550,28,32,60,45,50,95,66,70,136,39,86,125,41,75,116,51,49,100,31,20,51,52,19,71,37,39,76,390,440,830
LGA13650,10,8,18,12,14,26,34,24,58,24,26,50,22,18,40,5,14,19,5,10,15,6,4,10,15,11,26,133,129,262
LGA13660,12,3,15,14,7,21,3,8,11,8,8,16,9,10,19,5,3,8,7,0,7,5,0,5,4,3,7,67,42,109
LGA13700,4,4,8,3,3,6,10,14,24,6,5,11,8,8,16,8,6,14,4,0,4,0,3,3,3,4,7,46,47,93
LGA13800,72,52,124,28,75,103,66,61,127,48,57,105,44,82,126,55,55,110,51,40,91,100,62,162,22,41,63,486,525,1011
LGA13850,4,3,7,5,7,12,12,5,17,5,9,14,3,7,10,7,3,10,0,3,3,8,3,11,6,4,10,50,44,94
LGA13950,24,28,52,15,28,43,39,31,70,32,48,80,18,49,67,29,34,63,26,24,50,55,37,92,26,25,51,264,304,568
LGA14000,11,29,40,17,28,45,10,27,37,8,19,27,19,23,42,14,23,37,15,12,27,62,39,101,12,14,26,168,214,382
LGA14100,13,3,16,3,0,3,0,0,0,0,5,5,3,0,3,0,0,0,0,0,0,3,3,6,3,3,6,25,14,39
LGA14150,22,15,37,7,18,25,11,21,32,12,29,41,20,30,50,20,11,31,13,11,24,36,23,59,14,10,24,155,168,323
LGA14200,31,27,58,47,43,90,66,65,131,48,50,98,34,41,75,28,34,62,12,7,19,26,16,42,39,35,74,331,318,649
LGA14250,3,0,3,0,3,3,0,3,3,0,4,4,3,3,6,3,3,6,0,3,3,0,3,3,0,0,0,9,22,31
LGA14300,11,3,14,3,6,9,6,14,20,7,17,24,4,4,8,5,8,13,0,4,4,12,4,16,195,3,198,243,63,306
LGA14350,78,57,135,90,88,178,176,174,350,161,223,384,93,150,243,49,82,131,29,39,68,57,53,110,246,101,347,979,967,1946
LGA14400,12,7,19,7,18,25,10,11,21,6,9,15,5,20,25,8,4,12,3,6,9,31,14,45,5,14,19,87,103,190
LGA14450,5,6,11,4,10,14,5,10,15,0,11,11,13,5,18,8,13,21,5,8,13,26,12,38,0,7,7,66,82,148
LGA14500,7,11,18,3,9,12,4,6,10,0,0,0,3,3,6,3,4,7,4,3,7,18,16,34,7,6,13,49,58,107
LGA14550,11,15,26,20,26,46,42,25,67,24,25,49,12,24,36,23,20,43,6,3,9,7,3,10,23,19,42,168,160,328
LGA14600,39,27,66,18,30,48,54,60,114,50,66,116,43,58,101,32,30,62,17,12,29,33,24,57,35,46,81,321,353,674
LGA14650,147,168,315,177,216,393,231,281,512,143,249,392,193,327,520,165,201,366,123,117,240,357,146,503,132,118,250,1668,1823,3491
LGA14700,9,0,9,0,3,3,0,4,4,0,3,3,0,3,3,3,3,6,4,7,11,4,11,15,3,3,6,23,37,60
LGA14750,16,24,40,20,26,46,25,27,52,16,33,49,9,31,40,21,21,42,20,13,33,24,10,34,17,13,30,168,198,366
LGA14800,10,12,22,15,19,34,29,22,51,17,54,71,13,26,39,16,24,40,18,11,29,41,48,89,11,9,20,170,225,395
LGA14850,36,42,78,78,79,157,97,109,206,74,102,176,47,103,150,53,52,105,31,37,68,48,64,112,57,55,112,521,643,1164
LGA14870,22,21,43,26,37,63,32,47,79,37,40,77,27,50,77,25,28,53,9,6,15,59,12,71,75,16,91,312,257,569
LGA14900,90,88,178,86,123,209,88,125,213,71,134,205,70,146,216,79,93,172,77,64,141,137,97,234,73,73,146,771,943,1714
LGA14920,20,22,42,22,30,52,50,47,97,26,58,84,30,58,88,46,22,68,26,11,37,24,6,30,25,15,40,269,269,538
LGA14950,3,0,3,3,5,8,7,5,12,5,0,5,5,5,10,3,0,3,3,0,3,3,0,3,0,0,0,32,15,47
LGA15050,38,71,109,84,93,177,90,112,202,68,105,173,52,133,185,57,89,146,54,48,102,149,67,216,48,49,97,640,767,1407
LGA15150,9,3,12,3,4,7,3,4,7,6,7,13,3,7,10,3,3,6,3,6,9,17,9,26,3,0,3,50,43,93
LGA15200,32,34,66,28,40,68,49,54,103,40,50,90,25,63,88,43,55,98,37,29,66,89,119,208,25,31,56,368,475,843
LGA15270,36,19,55,30,42,72,38,44,82,26,40,66,27,42,69,28,25,53,18,14,32,71,12,83,23,12,35,297,250,547
LGA15300,95,63,158,111,106,217,205,188,393,90,191,281,73,146,219,73,78,151,40,42,82,59,56,115,109,98,207,855,968,1823
LGA15350,0,0,0,0,0,0,0,4,4,0,0,0,3,3,6,0,0,0,0,0,0,6,7,13,0,0,0,9,14,23
LGA15500,5,5,10,6,12,18,25,14,39,16,19,35,5,14,19,5,9,14,8,6,14,4,5,9,7,3,10,81,87,168
LGA15550,12,5,17,3,8,11,13,14,27,9,12,21,7,20,27,14,8,22,10,4,14,11,0,11,5,3,8,84,74,158
LGA15650,25,24,49,27,33,60,22,33,55,11,35,46,15,56,71,23,33,56,15,13,28,72,20,92,59,9,68,269,256,525
LGA15700,40,30,70,41,38,79,96,93,189,72,97,169,41,77,118,25,28,53,15,14,29,23,17,40,32,31,63,385,425,810
LGA15750,32,47,79,34,58,92,78,78,156,54,71,125,43,78,121,46,53,99,15,15,30,41,20,61,39,46,85,382,466,848
LGA15800,15,13,28,9,16,25,23,28,51,25,31,56,14,31,45,25,24,49,20,8,28,19,9,28,25,11,36,175,171,346
LGA15850,39,35,74,32,39,71,51,53,104,33,52,85,39,83,122,41,51,92,32,23,55,34,39,73,34,36,70,335,411,746
LGA15900,117,82,199,129,139,268,205,207,412,131,214,345,135,239,374,118,139,257,107,107,214,271,153,424,102,97,199,1315,1377,2692
LGA15950,0,3,3,0,3,3,3,0,3,7,6,13,3,3,6,3,7,10,8,6,14,34,18,52,4,5,9,62,51,113
LGA16100,0,7,7,9,4,13,7,6,13,5,11,16,3,8,11,4,3,7,9,3,12,12,3,15,20,3,23,69,48,117
LGA16150,64,56,120,65,76,141,76,79,155,58,97,155,70,117,187,52,55,107,31,43,74,81,52,133,69,71,140,566,646,1212
LGA16180,3,11,14,7,7,14,9,3,12,3,5,8,4,7,11,4,12,16,4,9,13,26,16,42,0,3,3,60,73,133
LGA16200,29,34,63,38,50,88,48,49,97,56,80,136,30,70,100,25,27,52,22,19,41,55,30,85,36,29,65,339,388,727
LGA16250,42,29,71,38,44,82,66,64,130,63,68,131,47,71,118,49,44,93,32,40,72,84,74,158,121,37,158,542,471,1013
LGA16350,156,169,325,152,192,344,149,198,347,130,210,340,137,252,389,172,208,380,166,139,305,366,254,620,210,182,392,1638,1804,3442
LGA16370,7,9,16,7,16,23,6,8,14,9,4,13,7,4,11,8,7,15,7,0,7,30,28,58,7,0,7,88,76,164
LGA16380,71,50,121,77,98,175,117,117,234,85,124,209,81,149,230,78,80,158,51,38,89,91,59,150,58,41,99,709,756,1465
LGA16400,76,76,152,74,94,168,90,113,203,80,109,189,77,137,214,76,84,160,47,33,80,119,66,185,42,35,77,681,747,1428
LGA16470,33,27,60,28,33,61,33,45,78,25,37,62,24,52,76,32,52,84,34,31,65,87,100,187,30,18,48,326,395,721
LGA16550,48,36,84,46,55,101,67,94,161,48,100,148,48,84,132,52,67,119,40,43,83,116,114,230,225,57,282,690,650,1340
LGA16610,33,42,75,46,60,106,89,66,155,53,73,126,41,66,107,36,56,92,26,15,41,28,30,58,69,64,133,421,472,893
LGA16650,16,24,40,17,12,29,18,19,37,7,18,25,15,27,42,27,20,47,18,21,39,61,48,109,16,11,27,195,200,395
LGA16700,7,10,17,8,6,14,7,14,21,12,17,29,16,22,38,19,17,36,13,11,24,39,28,67,0,14,14,121,139,260
LGA16900,54,81,135,62,64,126,80,78,158,55,77,132,57,96,153,52,56,108,45,37,82,105,50,155,52,54,106,562,593,1155
LGA16950,131,125,256,168,158,326,232,227,459,155,216,371,122,214,336,152,120,272,83,71,154,131,118,249,166,87,253,1340,1336,2676
LGA17000,26,42,68,16,28,44,26,27,53,16,38,54,19,40,59,29,23,52,20,10,30,90,26,116,20,22,42,262,256,518
LGA17050,7,0,7,0,0,0,3,3,6,3,0,3,4,5,9,0,3,3,5,3,8,11,3,14,3,3,6,36,20,56
LGA17100,7,5,12,4,3,7,0,3,3,5,5,10,3,3,6,6,0,6,4,6,10,10,8,18,3,0,3,42,33,75
LGA17150,61,46,107,53,77,130,59,69,128,44,55,99,57,81,138,62,75,137,53,45,98,210,111,321,35,36,71,634,595,1229
LGA17200,44,52,96,95,100,195,160,131,291,100,129,229,67,97,164,66,72,138,61,49,110,198,157,355,78,69,147,869,856,1725
LGA17310,129,115,244,145,151,296,208,232,440,161,250,411,147,257,404,169,182,351,111,67,178,167,118,285,135,117,252,1372,1489,2861
LGA17350,3,0,3,4,4,8,13,12,25,4,5,9,3,5,8,0,5,5,4,0,4,4,0,4,3,3,6,38,34,72
LGA17400,6,9,15,20,14,34,39,43,82,27,34,61,11,22,33,4,10,14,6,0,6,4,3,7,8,14,22,125,149,274
LGA17420,23,32,55,20,17,37,17,19,36,16,25,41,8,38,46,12,23,35,15,20,35,82,54,136,5,11,16,198,239,437
LGA17450,0,3,3,4,3,7,7,3,10,0,3,3,0,0,0,3,0,3,4,0,4,5,3,8,17,3,20,40,18,58
LGA17500,10,16,26,19,16,35,23,29,52,13,36,49,10,31,41,21,16,37,6,3,9,14,12,26,8,17,25,124,176,300
LGA17550,92,78,170,100,109,209,130,134,264,114,138,252,100,172,272,92,105,197,65,47,112,123,98,221,88,50,138,904,931,1835
LGA17620,20,13,33,19,19,38,18,19,37,18,23,41,16,22,38,17,19,36,14,16,30,34,12,46,9,10,19,165,153,318
LGA17640,4,8,12,7,3,10,3,11,14,3,10,13,3,3,6,3,0,3,3,0,3,5,5,10,3,3,6,34,43,77
LGA17650,10,9,19,13,20,33,16,20,36,16,13,29,18,18,36,17,13,30,12,3,15,7,9,16,11,13,24,120,118,238
LGA17700,0,0,0,0,0,0,3,6,9,0,3,3,0,3,3,3,0,3,3,0,3,4,0,4,0,0,0,13,12,25
LGA17750,89,62,151,80,100,180,117,128,245,70,133,203,86,150,236,102,88,190,70,57,127,115,90,205,65,60,125,794,868,1662
LGA17800,3,3,6,9,4,13,4,4,8,3,7,10,0,6,6,4,5,9,3,0,3,3,4,7,6,8,14,35,41,76
LGA17850,6,6,12,12,9,21,9,21,30,7,14,21,8,3,11,5,8,13,0,0,0,5,0,5,6,11,17,58,72,130
LGA17900,36,41,77,87,75,162,112,105,217,83,100,183,73,102,175,52,55,107,25,22,47,34,61,95,81,76,157,583,637,1220
LGA17950,4,9,13,13,15,28,14,31,45,25,32,57,10,24,34,10,11,21,4,4,8,5,3,8,13,10,23,98,139,237
LGA18000,19,30,49,7,17,24,17,21,38,4,16,20,20,31,51,24,23,47,26,19,45,73,50,123,14,17,31,204,224,428
LGA18020,25,26,51,27,30,57,60,59,119,33,65,98,31,45,76,19,15,34,9,5,14,17,14,31,19,22,41,240,281,521
LGA18050,7,3,10,7,11,18,5,4,9,4,12,16,11,9,20,7,5,12,7,7,14,41,40,81,6,0,6,95,91,186
LGA18100,4,3,7,0,0,0,0,5,5,5,0,5,3,3,6,3,3,6,0,0,0,3,3,6,8,0,8,26,17,43
LGA18150,40,36,76,54,47,101,80,81,161,60,87,147,52,77,129,34,47,81,21,25,46,44,36,80,284,62,346,669,498,1167
LGA18200,20,22,42,29,32,61,49,41,90,40,46,86,30,51,81,14,18,32,5,12,17,12,14,26,15,17,32,214,253,467
LGA18250,4,11,15,0,3,3,4,3,7,0,3,3,9,7,16,8,3,11,8,4,12,12,16,28,8,3,11,53,53,106
LGA18350,27,29,56,21,28,49,23,32,55,21,36,57,28,43,71,29,28,57,18,9,27,53,27,80,11,36,47,231,268,499
LGA18400,27,35,62,21,47,68,24,33,57,28,37,65,34,50,84,28,38,66,32,26,58,79,47,126,23,16,39,296,329,625
LGA18450,126,131,257,143,173,316,211,233,444,131,211,342,126,237,363,135,147,282,83,70,153,251,142,393,94,87,181,1300,1431,2731
LGA18500,9,6,15,3,3,6,3,3,6,3,3,6,3,3,6,3,8,11,3,3,6,16,14,30,3,4,7,46,47,93
LGA18550,163,141,304,180,229,409,219,234,453,140,249,389,156,314,470,177,215,392,140,108,248,269,169,438,128,107,235,1572,1766,3338
LGA18710,16,3,19,13,4,17,9,18,27,9,4,13,7,14,21,13,12,25,10,5,15,22,10,32,4,4,8,103,74,177
LGA18750,9,11,20,9,17,26,21,24,45,14,20,34,13,19,32,9,8,17,3,4,7,13,0,13,14,12,26,105,115,220
LGA19399,0,0,0,4,0,4,3,0,3,4,3,7,0,4,4,0,0,0,0,0,0,8,0,8,3,3,6,22,10,32
LGA19499,27,25,52,66,43,109,116,71,187,87,61,148,23,46,69,21,12,33,13,4,17,18,4,22,67,38,105,438,304,742
LGA20110,3,0,3,3,3,6,4,4,8,0,4,4,5,0,5,3,0,3,6,0,6,6,0,6,3,3,6,33,14,47
LGA20260,4,3,7,0,4,4,4,3,7,4,3,7,0,5,5,3,4,7,9,0,9,0,4,4,19,4,23,43,30,73
LGA20570,46,36,82,37,43,80,50,65,115,40,58,98,26,65,91,32,39,71,26,17,43,47,36,83,33,27,60,337,386,723
LGA20660,20,15,35,16,27,43,19,30,49,14,22,36,14,30,44,23,25,48,13,10,23,51,25,76,11,33,44,181,217,398
LGA20740,5,3,8,5,6,11,11,10,21,6,16,22,5,13,18,5,7,12,4,6,10,9,3,12,8,11,19,58,75,133
LGA20830,7,10,17,17,12,29,12,14,26,7,23,30,15,27,42,18,8,26,10,4,14,19,13,32,12,21,33,117,132,249
LGA20910,8,10,18,4,5,9,3,11,14,8,5,13,7,4,11,3,6,9,3,4,7,11,13,24,3,8,11,50,66,116
LGA21010,7,5,12,5,8,13,11,11,22,6,9,15,0,9,9,4,7,11,3,7,10,8,3,11,4,3,7,48,62,110
LGA21110,14,14,28,4,8,12,10,8,18,9,3,12,11,8,19,6,12,18,5,8,13,26,23,49,6,9,15,91,93,184
LGA21180,21,24,45,20,27,47,27,26,53,23,23,46,21,40,61,24,43,67,21,12,33,36,25,61,27,28,55,220,248,468
LGA21270,3,4,7,0,0,0,0,7,7,8,0,8,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,11,26
LGA21370,28,18,46,27,25,52,38,37,75,28,50,78,23,38,61,32,31,63,17,12,29,27,16,43,31,27,58,251,254,505
LGA21450,9,14,23,8,20,28,9,15,24,9,16,25,17,23,40,18,13,31,19,7,26,29,20,49,11,8,19,129,136,265
LGA21610,58,51,109,29,54,83,38,52,90,32,64,96,42,63,105,58,49,107,36,22,58,86,42,128,42,42,84,421,439,860
LGA21670,10,5,15,10,4,14,14,11,25,4,14,18,3,8,11,4,0,4,0,0,0,4,0,4,7,4,11,56,46,102
LGA21750,12,4,16,6,9,15,3,11,14,13,12,25,8,13,21,6,10,16,3,3,6,11,0,11,4,0,4,66,62,128
LGA21830,5,3,8,10,3,13,5,4,9,4,3,7,3,7,10,4,11,15,9,0,9,4,4,8,0,5,5,44,40,84
LGA21890,24,30,54,29,24,53,67,55,122,33,71,104,43,77,120,43,48,91,33,33,66,76,71,147,34,42,76,382,451,833
LGA22110,36,22,58,30,48,78,86,71,157,52,89,141,36,64,100,43,41,84,26,19,45,36,14,50,66,57,123,411,425,836
LGA22170,17,32,49,28,38,66,34,40,74,33,37,70,21,68,89,35,52,87,25,22,47,72,42,114,22,23,45,287,354,641
LGA22250,3,4,7,3,5,8,8,13,21,5,11,16,6,12,18,6,4,10,3,0,3,3,0,3,3,8,11,40,57,97
LGA22310,6,12,18,5,6,11,10,11,21,4,14,18,8,15,23,14,4,18,12,3,15,13,21,34,9,3,12,81,89,170
LGA22410,11,11,22,11,18,29,16,20,36,10,21,31,7,22,29,22,16,38,7,5,12,22,13,35,11,8,19,117,134,251
LGA22490,3,5,8,0,5,5,4,8,12,4,4,8,0,6,6,3,3,6,3,3,6,9,7,16,5,5,10,31,46,77
LGA22620,50,43,93,47,49,96,63,74,137,47,75,122,46,74,120,55,54,109,27,28,55,58,41,99,30,33,63,423,471,894
LGA22670,14,20,34,14,17,31,20,29,49,9,21,30,24,28,52,19,17,36,18,6,24,7,8,15,26,23,49,151,169,320
LGA22750,51,40,91,50,70,120,69,106,175,39,72,111,44,85,129,43,58,101,37,30,67,107,64,171,93,57,150,533,582,1115
LGA22830,48,43,91,64,74,138,105,113,218,70,90,160,49,124,173,73,81,154,50,46,96,45,39,84,85,82,167,589,692,1281
LGA22910,4,0,4,0,8,8,11,3,14,4,4,8,3,4,7,3,5,8,3,3,6,4,3,7,0,0,0,32,30,62
LGA22980,0,0,0,5,0,5,4,7,11,6,13,19,0,5,5,3,3,6,5,3,8,0,4,4,0,0,0,23,35,58
LGA23110,12,16,28,10,16,26,16,20,36,9,14,23,18,15,33,7,19,26,21,8,29,34,24,58,19,9,28,146,141,287
LGA23190,8,6,14,9,9,18,17,17,34,13,18,31,12,13,25,8,13,21,6,3,9,15,6,21,10,8,18,98,93,191
LGA23270,34,36,70,34,35,69,35,40,75,28,45,73,29,50,79,41,44,85,38,20,58,71,42,113,24,30,54,334,342,676
LGA23350,5,8,13,6,6,12,3,7,10,3,4,7,3,11,14,5,5,10,6,3,9,4,6,10,8,0,8,43,50,93
LGA23430,12,9,21,16,15,31,7,12,19,10,13,23,19,19,38,20,20,40,10,9,19,36,34,70,10,8,18,140,139,279
LGA23670,27,16,43,15,10,25,7,27,34,11,17,28,21,17,38,28,21,49,14,12,26,49,14,63,8,10,18,180,144,324
LGA23810,31,25,56,36,44,80,64,53,117,39,52,91,17,46,63,25,32,57,12,23,35,50,26,76,36,30,66,310,331,641
LGA23940,0,6,6,4,7,11,5,9,14,6,6,12,3,3,6,3,8,11,0,0,0,0,0,0,5,0,5,26,39,65
LGA24130,13,11,24,9,4,13,4,13,17,7,7,14,5,4,9,4,8,12,3,3,6,17,13,30,5,0,5,67,63,130
LGA24210,10,6,16,8,4,12,5,3,8,6,7,13,3,9,12,4,10,14,3,4,7,14,10,24,3,3,6,56,56,112
LGA24250,4,3,7,0,6,6,0,3,3,0,3,3,5,3,8,0,3,3,4,0,4,3,0,3,3,3,6,19,24,43
LGA24330,3,6,9,16,11,27,16,19,35,20,12,32,10,15,25,11,9,20,7,12,19,36,24,60,11,11,22,130,119,249
LGA24410,14,15,29,7,21,28,10,16,26,13,21,34,13,21,34,13,17,30,15,4,19,34,16,50,9,12,21,128,143,271
LGA24600,16,10,26,10,9,19,12,13,25,11,4,15,12,4,16,17,6,23,5,6,11,49,23,72,20,4,24,152,79,231
LGA24650,26,26,52,22,25,47,25,36,61,14,29,43,12,40,52,28,25,53,22,16,38,46,21,67,67,31,98,262,249,511
LGA24780,36,47,83,62,87,149,76,111,187,50,109,159,40,98,138,44,56,100,30,20,50,31,34,65,61,55,116,430,617,1047
LGA24850,19,10,29,13,14,27,18,10,28,11,19,30,10,17,27,12,8,20,11,13,24,38,13,51,11,14,25,143,118,261
LGA24900,25,18,43,15,15,30,15,25,40,16,20,36,19,25,44,9,11,20,6,10,16,20,8,28,7,5,12,132,137,269
LGA24970,17,12,29,20,17,37,8,17,25,8,20,28,12,9,21,14,14,28,8,13,21,30,16,46,6,7,13,123,125,248
