jurisd,mlcode,peergrp,year,nchecks,popn,usage
SA,ML402,Metro 2,2011-12,510,6060,0.084
SA,ML402,Metro 2,2012-13,653,6060,0.108
SA,ML403,Metro 2,2011-12,111,4888,0.023
SA,ML403,Metro 2,2012-13,122,4888,0.025
SA,ML404,Regional 2,2011-12,297,4330,0.069
SA,ML404,Regional 2,2012-13,460,4330,0.106
SA,ML405,Rural 1,2011-12,1633,13034,0.125
SA,ML405,Rural 1,2012-13,2074,13034,0.159
WA,ML501,Metro 2,2011-12,860,9054,0.095
WA,ML501,Metro 2,2012-13,2137,9054,0.236
WA,ML502,Metro 2,2011-12,672,6965,0.096
WA,ML502,Metro 2,2012-13,1382,6965,0.198
WA,ML503,Metro 2,2011-12,88,3354,0.026
WA,ML503,Metro 2,2012-13,168,3354,0.05
WA,ML504,Metro 2,2011-12,838,9705,0.086
WA,ML504,Metro 2,2012-13,1583,9705,0.163
WA,ML505,Regional 1,2011-12,463,5872,0.079
WA,ML505,Regional 1,2012-13,672,5872,0.114
WA,ML506,Regional 2,2011-12,1259,10986,0.115
WA,ML506,Regional 2,2012-13,1201,10986,0.109
WA,ML507,Rural 2,2011-12,2498,14810,0.169
WA,ML507,Rural 2,2012-13,3716,14810,0.251
WA,ML508,Rural 2,2011-12,3259,26948,0.121
WA,ML508,Rural 2,2012-13,4658,26948,0.173
Tas,ML601,Regional 2,2011-12,776,24165,0.032
Tas,ML601,Regional 2,2012-13,1156,24165,0.048
NT,ML701,Rural 2,2011-12,13701,68846,0.199
NT,ML701,Rural 2,2012-13,16361,68846,0.238
ACT,ML801,Metro 1,2011-12,517,6151,0.084
ACT,ML801,Metro 1,2012-13,868,6151,0.141
