region_id,Med_ag_pe_In_pe_h_I_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_p,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_wi_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
IARE702003,26,38,28,245,749,263,791,1221,942,0,0,0,20,0,20,2.0,1.1,1.8,4.6,2.0,4.0,51.7,0,39.1
IARE702004,21,32,22,311,1102,355,724,1892,1042,0,0,0,19,0,15,1.4,1.3,1.3,3.5,2.3,3.1,20.0,0,12.8
IARE702005,25,37,27,236,812,260,772,1971,1125,0,0,0,60,0,40,1.8,1.1,1.5,5.3,3.2,4.5,51.6,8.3,36.0
IARE702006,25,50,28,236,1292,250,1228,1958,1235,0,0,0,55,0,55,2.3,1.0,2.1,5.3,2.0,4.9,58.1,0,50.0
IARE702007,22,50,24,240,1047,268,1228,1208,1218,0,0,0,50,0,40,2.3,1.0,1.8,5.8,1.6,4.4,67.6,0,43.6
IARE702008,26,32,30,150,794,366,362,1354,650,0,4009,4009,35,0,20,1.6,1.1,1.4,4.3,2.0,3.3,33.3,6.8,21.8
IARE702009,25,30,29,219,758,654,774,1175,1129,0,867,867,10,150,98,1.8,1.4,1.4,4.5,1.8,2.4,44.0,7.3,14.6
IARE702010,26,38,34,250,1974,1388,657,1300,949,0,0,0,10,0,0,1.8,1.0,1.5,4.8,2.2,3.9,43.8,0,26.9
IARE702011,23,37,24,223,1263,240,966,1292,1107,0,0,0,50,0,30,2.4,1.0,2.1,5.1,1.8,4.5,50.0,0,41.1
IARE702012,24,35,25,164,1125,176,609,1916,690,0,0,0,25,0,25,2.7,1.0,2.5,5.4,1.3,4.9,72.3,0,63.5
IARE702013,21,42,22,139,1375,156,719,1849,900,0,0,0,70,0,53,2.2,1.0,1.9,6.1,1.4,4.9,75.0,0,52.7
IARE702014,24,31,26,219,870,237,706,1458,850,0,1625,1625,30,0,30,1.6,1.1,1.5,4.2,1.7,3.6,42.5,0,32.1
IARE702015,20,61,21,252,974,263,1187,1562,1187,0,0,0,20,0,20,1.8,1.4,1.7,5.9,1.3,4.8,59.4,0,46.3
IARE702016,27,61,28,214,150,211,383,2750,466,0,0,0,53,0,20,1.8,1.0,1.7,5.3,1.0,4.8,45.2,0,37.8
IARE702017,25,32,26,250,976,267,1125,1431,1300,0,0,0,25,0,25,1.9,1.1,1.7,5.4,1.7,4.2,50.0,0,33.3
IARE703001,22,34,33,582,808,801,1577,1857,1840,1904,2167,2102,310,380,380,1.2,1.2,1.2,3.6,2.8,2.9,10.2,5.6,6.0
IARE703002,20,36,34,644,913,884,1925,1973,1967,1842,2167,2167,325,430,420,1.2,1.1,1.1,3.5,2.8,2.9,12.6,3.4,4.6
IARE703003,28,35,34,272,879,792,808,1543,1457,1404,1950,1885,75,330,300,1.4,1.2,1.2,3.0,2.3,2.4,21.7,5.4,7.6
IARE703004,25,49,44,300,556,463,763,893,877,1300,1487,1430,75,75,75,1.7,1.2,1.3,3.0,2.0,2.2,24.0,5.8,9.2
IARE703005,29,33,33,390,1065,1041,1227,2074,2025,3033,2383,2400,380,450,450,1.3,1.1,1.1,2.3,2.3,2.3,7.9,4.1,4.3
IARE703006,17,33,31,569,779,756,1356,1674,1607,2080,1950,1975,168,330,310,1.3,1.2,1.2,3.7,2.9,3.0,14.1,7.8,9.0
IARE703007,23,37,36,562,881,864,1718,1770,1767,2383,2167,2167,225,300,300,1.5,1.2,1.2,3.6,2.7,2.8,18.9,6.4,7.6
IARE703008,19,36,33,457,810,764,1156,1728,1646,1733,1885,1842,165,290,232,1.3,1.2,1.2,3.5,2.8,3.0,15.7,6.1,7.9
IARE703009,30,32,31,307,908,861,833,1578,1511,2123,2167,2123,184,200,200,1.3,1.2,1.2,2.4,2.3,2.3,12.8,5.3,6.1
IARE703010,25,36,35,639,884,862,1416,1712,1683,1950,2092,2075,250,350,350,1.2,1.1,1.1,3.1,2.6,2.7,10.9,4.7,5.5
IARE703011,19,35,34,519,804,783,1241,1814,1759,1820,2164,2145,300,320,310,1.2,1.2,1.2,3.6,2.9,3.0,13.0,6.6,7.3
IARE703012,31,36,36,529,951,930,1343,1718,1695,1517,1907,1885,310,350,350,1.3,1.2,1.2,2.8,2.4,2.4,7.7,5.6,5.7
IARE703013,19,29,28,554,941,911,1370,1873,1814,2253,2167,2167,250,380,365,1.3,1.1,1.1,3.3,2.8,2.9,12.8,3.4,4.7
IARE703014,24,35,34,472,932,909,1562,1966,1937,2167,2297,2214,395,330,340,1.2,1.1,1.1,3.4,2.8,2.8,9.7,4.2,4.6
IARE704001,20,41,26,255,851,348,1029,1164,1095,1452,1300,1452,52,0,50,2.1,1.3,1.7,4.8,2.2,3.5,53.8,5.8,29.8
IARE704002,23,36,34,353,945,810,1263,1722,1613,440,975,975,60,37,38,1.5,1.2,1.3,3.8,2.4,2.7,26.4,6.5,11.2
IARE704003,22,33,23,268,1167,282,1818,1583,1755,0,0,0,60,0,50,2.7,1.3,2.3,6.8,2.0,5.4,82.1,4.7,59.9
IARE704004,22,33,24,267,1080,284,1338,1736,1428,0,0,0,100,0,83,2.2,1.2,2.0,5.9,2.0,5.1,70.5,4.8,57.0
IARE704005,19,35,21,161,1103,187,663,1694,850,0,0,0,64,0,45,2.3,1.1,2.0,5.8,1.8,4.9,65.4,0,51.3
IARE704006,25,36,27,231,1087,249,688,1446,778,542,550,546,40,0,40,1.7,1.1,1.6,4.4,1.9,3.9,41.8,3.3,35.5
IARE705001,21,46,26,286,1062,380,971,1678,1197,0,0,0,55,0,50,2.1,1.3,1.8,5.1,1.9,3.9,47.2,6.9,32.7
IARE705002,24,47,26,251,933,269,988,1643,1103,0,0,0,60,0,53,1.9,1.1,1.7,5.1,2.3,4.4,55.4,0,43.8
IARE705003,23,41,25,236,679,266,836,1166,944,0,666,666,60,0,60,2.3,1.3,1.9,5.5,2.3,4.1,65.1,8.8,41.1
IARE705004,20,48,24,269,717,299,1227,855,1090,0,0,0,40,0,30,2.5,1.3,2.0,5.8,1.7,3.9,64.4,5.4,37.4
IARE705005,25,33,31,301,895,756,924,1682,1529,1733,1716,1718,120,210,200,1.5,1.1,1.2,3.4,2.5,2.7,21.5,3.6,7.9
IARE705006,20,41,21,232,1375,256,739,1916,1093,0,0,0,20,0,20,2.1,1.0,1.8,6.0,1.6,4.6,57.7,0,40.5
IARE705007,21,37,22,270,1305,278,1536,1899,1687,0,1480,1480,90,0,75,2.2,1.0,1.9,6.8,1.6,5.6,71.1,0,56.6
IARE705008,21,38,27,270,726,463,660,1451,1053,0,400,400,20,9,20,1.7,1.2,1.4,3.8,2.4,3.0,34.9,6.5,19.2
IARE705009,19,28,23,294,775,363,1208,1444,1357,0,0,0,28,0,22,2.1,1.0,1.7,5.7,2.0,4.1,56.9,0,32.4
IARE706001,24,34,28,277,1495,526,1231,2802,2037,0,390,390,75,75,75,1.9,1.2,1.5,5.3,2.7,3.9,54.0,1.4,26.9
IARE706002,23,28,24,220,966,225,1111,1562,1169,108,0,108,25,0,25,2.5,1.1,2.2,6.6,1.5,5.8,81.0,0,67.5
IARE706003,24,41,24,278,1750,280,1213,3250,1268,0,0,0,40,0,40,2.3,1.0,2.3,6.0,1.0,5.8,65.1,0,65.1
IARE706004,21,35,23,250,1204,266,1707,1833,1754,0,0,0,30,0,24,2.5,1.1,2.0,7.1,1.8,5.4,81.5,0,55.1
IARE706005,23,32,31,351,1293,1176,1491,2613,2555,1088,2100,2100,30,3,3,1.6,1.1,1.2,4.0,2.9,3.0,28.3,1.7,4.5
IARE706006,24,38,25,219,860,231,989,1856,1112,0,0,0,25,0,25,2.0,1.4,1.9,6.0,1.8,5.2,62.8,0,50.9
IARE706007,25,36,26,230,1189,239,1276,1750,1361,0,0,0,100,0,80,2.2,1.0,1.9,6.8,1.6,5.7,81.6,0,63.1
IARE706008,25,36,27,354,969,421,2055,1750,1899,0,0,0,40,0,40,2.4,1.1,1.8,6.3,2.9,4.8,72.0,6.5,42.3
IARE707001,21,40,22,242,1111,255,793,1708,1111,0,0,0,40,0,40,2.4,1.2,2.1,5.6,1.7,4.8,70.1,0,52.8
IARE707002,22,40,23,257,949,263,779,2343,1017,0,0,0,60,75,60,1.7,1.0,1.6,5.2,1.4,4.6,46.5,0,38.4
IARE707003,24,33,28,251,785,446,589,1093,784,0,3350,3350,26,0,25,1.6,1.1,1.3,4.1,2.2,3.2,36.4,3.2,20.3
IARE707004,19,52,24,268,833,323,1750,941,1228,0,0,0,65,0,65,1.6,1.0,1.4,4.8,1.7,4.0,41.5,0,30.1
IARE707005,25,41,32,286,942,635,1086,1583,1406,910,1000,1000,120,125,120,1.7,1.1,1.4,4.1,2.1,2.9,35.9,2.3,15.6
IARE707006,17,36,18,228,1171,240,1017,1958,1075,0,0,0,35,0,35,2.2,1.3,2.1,5.5,1.9,4.8,62.3,0,51.4
IARE794994,36,47,45,269,524,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE797997,25,34,33,0,1348,1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE801001,22,32,32,648,898,895,1647,1900,1896,2150,2167,2167,310,389,385,1.1,1.1,1.1,2.9,2.6,2.6,5.1,2.4,2.5
IARE801002,22,38,37,644,947,943,1691,1952,1948,2167,2115,2123,330,380,375,1.2,1.1,1.1,3.1,2.6,2.6,7.4,1.7,1.8
IARE801003,7,31,31,1125,890,896,0,1858,1825,0,2492,2492,135,160,160,1.0,1.1,1.1,6.0,2.7,2.7,0,3.5,3.5
IARE894994,47,31,31,433,505,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE897997,40,0,40,0,0,0,0,0,0,0,0,0,335,0,335,0,0,0,0,0,0,0,0,0
IARE901001,34,31,31,1031,1018,1018,2208,1860,1860,0,1083,1083,50,86,86,1.0,1.3,1.2,2.4,2.6,2.6,0,5.5,5.4
IARE901002,54,38,38,433,480,480,1375,1468,1442,1300,285,520,0,135,135,1.0,1.2,1.2,2.0,3.8,3.7,0,5.0,4.9
IARE902001,30,27,28,293,1027,461,762,1583,880,0,0,0,40,225,60,1.3,1.0,1.2,3.2,2.7,3.1,12.9,0,9.3
IARE994994,61,29,29,0,1558,1558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE997997,0,0,0,0,1750,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
