State,Region Type,ASGS 2011,Frequency,Selected Medians and Averages,Time,Value,Flags
"New South Wales","Statistical Area Level 3","Bourke - Cobar - Coonamble","Annual","Median age of persons","2001",35,
"New South Wales","Statistical Area Level 3","Bourke - Cobar - Coonamble","Annual","Median age of persons","2006",38,
"New South Wales","Statistical Area Level 3","Bourke - Cobar - Coonamble","Annual","Median age of persons","2011",40,
"New South Wales","Statistical Area Level 3","Broken Hill and Far West","Annual","Median age of persons","2001",39,
"New South Wales","Statistical Area Level 3","Broken Hill and Far West","Annual","Median age of persons","2006",42,
"New South Wales","Statistical Area Level 3","Broken Hill and Far West","Annual","Median age of persons","2011",44,
"New South Wales","Statistical Area Level 3","Dubbo","Annual","Median age of persons","2001",35,
"New South Wales","Statistical Area Level 3","Dubbo","Annual","Median age of persons","2006",37,
"New South Wales","Statistical Area Level 3","Dubbo","Annual","Median age of persons","2011",39,
"New South Wales","Statistical Area Level 3","Lower Hunter","Annual","Median age of persons","2001",35,
"New South Wales","Statistical Area Level 3","Lower Hunter","Annual","Median age of persons","2006",36,
"New South Wales","Statistical Area Level 3","Lower Hunter","Annual","Median age of persons","2011",37,
"New South Wales","Statistical Area Level 3","Maitland","Annual","Median age of persons","2001",34,
"New South Wales","Statistical Area Level 3","Maitland","Annual","Median age of persons","2006",35,
"New South Wales","Statistical Area Level 3","Maitland","Annual","Median age of persons","2011",36,
"New South Wales","Statistical Area Level 3","Port Stephens","Annual","Median age of persons","2001",38,
"New South Wales","Statistical Area Level 3","Port Stephens","Annual","Median age of persons","2006",40,
"New South Wales","Statistical Area Level 3","Port Stephens","Annual","Median age of persons","2011",42,
"New South Wales","Statistical Area Level 3","Upper Hunter","Annual","Median age of persons","2001",35,
"New South Wales","Statistical Area Level 3","Upper Hunter","Annual","Median age of persons","2006",36,
"New South Wales","Statistical Area Level 3","Upper Hunter","Annual","Median age of persons","2011",36,
"New South Wales","Statistical Area Level 3","Dapto - Port Kembla","Annual","Median age of persons","2001",35,
"New South Wales","Statistical Area Level 3","Dapto - Port Kembla","Annual","Median age of persons","2006",38,
"New South Wales","Statistical Area Level 3","Dapto - Port Kembla","Annual","Median age of persons","2011",39,
"New South Wales","Statistical Area Level 3","Illawarra Catchment Reserve","Annual","Median age of persons","2001",0,
"New South Wales","Statistical Area Level 3","Illawarra Catchment Reserve","Annual","Median age of persons","2006",0,
"New South Wales","Statistical Area Level 3","Illawarra Catchment Reserve","Annual","Median age of persons","2011",31,
"New South Wales","Statistical Area Level 3","Kiama - Shellharbour","Annual","Median age of persons","2001",35,
"New South Wales","Statistical Area Level 3","Kiama - Shellharbour","Annual","Median age of persons","2006",37,
"New South Wales","Statistical Area Level 3","Kiama - Shellharbour","Annual","Median age of persons","2011",39,
"New South Wales","Statistical Area Level 3","Wollongong","Annual","Median age of persons","2001",36,
"New South Wales","Statistical Area Level 3","Wollongong","Annual","Median age of persons","2006",37,
"New South Wales","Statistical Area Level 3","Wollongong","Annual","Median age of persons","2011",37,
"New South Wales","Statistical Area Level 3","Great Lakes","Annual","Median age of persons","2001",47,
"New South Wales","Statistical Area Level 3","Great Lakes","Annual","Median age of persons","2006",49,
"New South Wales","Statistical Area Level 3","Great Lakes","Annual","Median age of persons","2011",52,
"New South Wales","Statistical Area Level 3","Kempsey - Nambucca","Annual","Median age of persons","2001",41,
"New South Wales","Statistical Area Level 3","Kempsey - Nambucca","Annual","Median age of persons","2006",44,
"New South Wales","Statistical Area Level 3","Kempsey - Nambucca","Annual","Median age of persons","2011",47,
"New South Wales","Statistical Area Level 3","Lord Howe Island","Annual","Median age of persons","2001",44,
"New South Wales","Statistical Area Level 3","Lord Howe Island","Annual","Median age of persons","2006",45,
"New South Wales","Statistical Area Level 3","Lord Howe Island","Annual","Median age of persons","2011",46,
"New South Wales","Statistical Area Level 3","Port Macquarie","Annual","Median age of persons","2001",43,
"New South Wales","Statistical Area Level 3","Port Macquarie","Annual","Median age of persons","2006",45,
"New South Wales","Statistical Area Level 3","Port Macquarie","Annual","Median age of persons","2011",47,
"New South Wales","Statistical Area Level 3","Taree - Gloucester","Annual","Median age of persons","2001",40,
"New South Wales","Statistical Area Level 3","Taree - Gloucester","Annual","Median age of persons","2006",43,
"New South Wales","Statistical Area Level 3","Taree - Gloucester","Annual","Median age of persons","2011",46,
"New South Wales","Statistical Area Level 3","Albury","Annual","Median age of persons","2001",35,
"New South Wales","Statistical Area Level 3","Albury","Annual","Median age of persons","2006",36,
"New South Wales","Statistical Area Level 3","Albury","Annual","Median age of persons","2011",38,
"New South Wales","Statistical Area Level 3","Lower Murray","Annual","Median age of persons","2001",37,
"New South Wales","Statistical Area Level 3","Lower Murray","Annual","Median age of persons","2006",40,
"New South Wales","Statistical Area Level 3","Lower Murray","Annual","Median age of persons","2011",43,
"New South Wales","Statistical Area Level 3","Upper Murray exc. Albury","Annual","Median age of persons","2001",40,
"New South Wales","Statistical Area Level 3","Upper Murray exc. Albury","Annual","Median age of persons","2006",43,
"New South Wales","Statistical Area Level 3","Upper Murray exc. Albury","Annual","Median age of persons","2011",46,
"New South Wales","Statistical Area Level 3","Armidale","Annual","Median age of persons","2001",33,
"New South Wales","Statistical Area Level 3","Armidale","Annual","Median age of persons","2006",35,
"New South Wales","Statistical Area Level 3","Armidale","Annual","Median age of persons","2011",37,
"New South Wales","Statistical Area Level 3","Inverell - Tenterfield","Annual","Median age of persons","2001",39,
"New South Wales","Statistical Area Level 3","Inverell - Tenterfield","Annual","Median age of persons","2006",42,
"New South Wales","Statistical Area Level 3","Inverell - Tenterfield","Annual","Median age of persons","2011",43,
"New South Wales","Statistical Area Level 3","Moree - Narrabri","Annual","Median age of persons","2001",34,
"New South Wales","Statistical Area Level 3","Moree - Narrabri","Annual","Median age of persons","2006",36,
"New South Wales","Statistical Area Level 3","Moree - Narrabri","Annual","Median age of persons","2011",38,
"New South Wales","Statistical Area Level 3","Tamworth - Gunnedah","Annual","Median age of persons","2001",37,
"New South Wales","Statistical Area Level 3","Tamworth - Gunnedah","Annual","Median age of persons","2006",39,
"New South Wales","Statistical Area Level 3","Tamworth - Gunnedah","Annual","Median age of persons","2011",40,
"New South Wales","Statistical Area Level 3","Lake Macquarie - East","Annual","Median age of persons","2001",38,
"New South Wales","Statistical Area Level 3","Lake Macquarie - East","Annual","Median age of persons","2006",40,
"New South Wales","Statistical Area Level 3","Lake Macquarie - East","Annual","Median age of persons","2011",41,
"New South Wales","Statistical Area Level 3","Lake Macquarie - West","Annual","Median age of persons","2001",37,
"New South Wales","Statistical Area Level 3","Lake Macquarie - West","Annual","Median age of persons","2006",39,
"New South Wales","Statistical Area Level 3","Lake Macquarie - West","Annual","Median age of persons","2011",41,
"New South Wales","Statistical Area Level 3","Newcastle","Annual","Median age of persons","2001",36,
"New South Wales","Statistical Area Level 3","Newcastle","Annual","Median age of persons","2006",37,
"New South Wales","Statistical Area Level 3","Newcastle","Annual","Median age of persons","2011",37,
"New South Wales","Statistical Area Level 3","Richmond Valley - Coastal","Annual","Median age of persons","2001",40,
"New South Wales","Statistical Area Level 3","Richmond Valley - Coastal","Annual","Median age of persons","2006",42,
"New South Wales","Statistical Area Level 3","Richmond Valley - Coastal","Annual","Median age of persons","2011",44,
"New South Wales","Statistical Area Level 3","Richmond Valley - Hinterland","Annual","Median age of persons","2001",36,
"New South Wales","Statistical Area Level 3","Richmond Valley - Hinterland","Annual","Median age of persons","2006",39,
"New South Wales","Statistical Area Level 3","Richmond Valley - Hinterland","Annual","Median age of persons","2011",41,
"New South Wales","Statistical Area Level 3","Tweed Valley","Annual","Median age of persons","2001",43,
"New South Wales","Statistical Area Level 3","Tweed Valley","Annual","Median age of persons","2006",45,
"New South Wales","Statistical Area Level 3","Tweed Valley","Annual","Median age of persons","2011",46,
"New South Wales","Statistical Area Level 3","Griffith - Murrumbidgee (West)","Annual","Median age of persons","2001",34,
"New South Wales","Statistical Area Level 3","Griffith - Murrumbidgee (West)","Annual","Median age of persons","2006",36,
"New South Wales","Statistical Area Level 3","Griffith - Murrumbidgee (West)","Annual","Median age of persons","2011",37,
"New South Wales","Statistical Area Level 3","Tumut - Tumbarumba","Annual","Median age of persons","2001",37,
"New South Wales","Statistical Area Level 3","Tumut - Tumbarumba","Annual","Median age of persons","2006",40,
"New South Wales","Statistical Area Level 3","Tumut - Tumbarumba","Annual","Median age of persons","2011",41,
"New South Wales","Statistical Area Level 3","Wagga Wagga","Annual","Median age of persons","2001",34,
"New South Wales","Statistical Area Level 3","Wagga Wagga","Annual","Median age of persons","2006",35,
"New South Wales","Statistical Area Level 3","Wagga Wagga","Annual","Median age of persons","2011",37,
"New South Wales","Statistical Area Level 3","Shoalhaven","Annual","Median age of persons","2001",41,
"New South Wales","Statistical Area Level 3","Shoalhaven","Annual","Median age of persons","2006",44,
"New South Wales","Statistical Area Level 3","Shoalhaven","Annual","Median age of persons","2011",45,
"New South Wales","Statistical Area Level 3","Southern Highlands","Annual","Median age of persons","2001",38,
"New South Wales","Statistical Area Level 3","Southern Highlands","Annual","Median age of persons","2006",42,
"New South Wales","Statistical Area Level 3","Southern Highlands","Annual","Median age of persons","2011",44,
"New South Wales","Statistical Area Level 3","Baulkham Hills","Annual","Median age of persons","2001",35,
"New South Wales","Statistical Area Level 3","Baulkham Hills","Annual","Median age of persons","2006",36,
"New South Wales","Statistical Area Level 3","Baulkham Hills","Annual","Median age of persons","2011",38,
"New South Wales","Statistical Area Level 3","Dural - Wisemans Ferry","Annual","Median age of persons","2001",37,
"New South Wales","Statistical Area Level 3","Dural - Wisemans Ferry","Annual","Median age of persons","2006",39,
"New South Wales","Statistical Area Level 3","Dural - Wisemans Ferry","Annual","Median age of persons","2011",41,
"New South Wales","Statistical Area Level 3","Hawkesbury","Annual","Median age of persons","2001",34,
"New South Wales","Statistical Area Level 3","Hawkesbury","Annual","Median age of persons","2006",36,
"New South Wales","Statistical Area Level 3","Hawkesbury","Annual","Median age of persons","2011",39,
"New South Wales","Statistical Area Level 3","Rouse Hill - McGraths Hill","Annual","Median age of persons","2001",32,
"New South Wales","Statistical Area Level 3","Rouse Hill - McGraths Hill","Annual","Median age of persons","2006",33,
"New South Wales","Statistical Area Level 3","Rouse Hill - McGraths Hill","Annual","Median age of persons","2011",35,
"New South Wales","Statistical Area Level 3","Blacktown","Annual","Median age of persons","2001",33,
"New South Wales","Statistical Area Level 3","Blacktown","Annual","Median age of persons","2006",34,
"New South Wales","Statistical Area Level 3","Blacktown","Annual","Median age of persons","2011",34,
"New South Wales","Statistical Area Level 3","Blacktown - North","Annual","Median age of persons","2001",30,
"New South Wales","Statistical Area Level 3","Blacktown - North","Annual","Median age of persons","2006",31,
"New South Wales","Statistical Area Level 3","Blacktown - North","Annual","Median age of persons","2011",32,
"New South Wales","Statistical Area Level 3","Mount Druitt","Annual","Median age of persons","2001",29,
"New South Wales","Statistical Area Level 3","Mount Druitt","Annual","Median age of persons","2006",30,
"New South Wales","Statistical Area Level 3","Mount Druitt","Annual","Median age of persons","2011",31,
"New South Wales","Statistical Area Level 3","Botany","Annual","Median age of persons","2001",36,
"New South Wales","Statistical Area Level 3","Botany","Annual","Median age of persons","2006",37,
"New South Wales","Statistical Area Level 3","Botany","Annual","Median age of persons","2011",37,
"New South Wales","Statistical Area Level 3","Marrickville - Sydenham - Petersham","Annual","Median age of persons","2001",35,
"New South Wales","Statistical Area Level 3","Marrickville - Sydenham - Petersham","Annual","Median age of persons","2006",35,
"New South Wales","Statistical Area Level 3","Marrickville - Sydenham - Petersham","Annual","Median age of persons","2011",36,
"New South Wales","Statistical Area Level 3","Sydney Inner City","Annual","Median age of persons","2001",33,
"New South Wales","Statistical Area Level 3","Sydney Inner City","Annual","Median age of persons","2006",33,
"New South Wales","Statistical Area Level 3","Sydney Inner City","Annual","Median age of persons","2011",33,
"New South Wales","Statistical Area Level 3","Eastern Suburbs - North","Annual","Median age of persons","2001",36,
"New South Wales","Statistical Area Level 3","Eastern Suburbs - North","Annual","Median age of persons","2006",36,
"New South Wales","Statistical Area Level 3","Eastern Suburbs - North","Annual","Median age of persons","2011",36,
"New South Wales","Statistical Area Level 3","Eastern Suburbs - South","Annual","Median age of persons","2001",34,
"New South Wales","Statistical Area Level 3","Eastern Suburbs - South","Annual","Median age of persons","2006",35,
"New South Wales","Statistical Area Level 3","Eastern Suburbs - South","Annual","Median age of persons","2011",35,
"New South Wales","Statistical Area Level 3","Bankstown","Annual","Median age of persons","2001",35,
"New South Wales","Statistical Area Level 3","Bankstown","Annual","Median age of persons","2006",35,
"New South Wales","Statistical Area Level 3","Bankstown","Annual","Median age of persons","2011",35,
"New South Wales","Statistical Area Level 3","Canterbury","Annual","Median age of persons","2001",34,
"New South Wales","Statistical Area Level 3","Canterbury","Annual","Median age of persons","2006",35,
"New South Wales","Statistical Area Level 3","Canterbury","Annual","Median age of persons","2011",35,
"New South Wales","Statistical Area Level 3","Hurstville","Annual","Median age of persons","2001",37,
"New South Wales","Statistical Area Level 3","Hurstville","Annual","Median age of persons","2006",38,
"New South Wales","Statistical Area Level 3","Hurstville","Annual","Median age of persons","2011",38,
"New South Wales","Statistical Area Level 3","Kogarah - Rockdale","Annual","Median age of persons","2001",37,
"New South Wales","Statistical Area Level 3","Kogarah - Rockdale","Annual","Median age of persons","2006",37,
"New South Wales","Statistical Area Level 3","Kogarah - Rockdale","Annual","Median age of persons","2011",37,
"New South Wales","Statistical Area Level 3","Canada Bay","Annual","Median age of persons","2001",37,
"New South Wales","Statistical Area Level 3","Canada Bay","Annual","Median age of persons","2006",38,
"New South Wales","Statistical Area Level 3","Canada Bay","Annual","Median age of persons","2011",37,
"New South Wales","Statistical Area Level 3","Leichhardt","Annual","Median age of persons","2001",35,
"New South Wales","Statistical Area Level 3","Leichhardt","Annual","Median age of persons","2006",36,
"New South Wales","Statistical Area Level 3","Leichhardt","Annual","Median age of persons","2011",37,
"New South Wales","Statistical Area Level 3","Strathfield - Burwood - Ashfield","Annual","Median age of persons","2001",36,
"New South Wales","Statistical Area Level 3","Strathfield - Burwood - Ashfield","Annual","Median age of persons","2006",36,
"New South Wales","Statistical Area Level 3","Strathfield - Burwood - Ashfield","Annual","Median age of persons","2011",35,
"New South Wales","Statistical Area Level 3","Chatswood - Lane Cove","Annual","Median age of persons","2001",36,
"New South Wales","Statistical Area Level 3","Chatswood - Lane Cove","Annual","Median age of persons","2006",36,
"New South Wales","Statistical Area Level 3","Chatswood - Lane Cove","Annual","Median age of persons","2011",37,
"New South Wales","Statistical Area Level 3","Hornsby","Annual","Median age of persons","2001",36,
"New South Wales","Statistical Area Level 3","Hornsby","Annual","Median age of persons","2006",37,
"New South Wales","Statistical Area Level 3","Hornsby","Annual","Median age of persons","2011",37,
"New South Wales","Statistical Area Level 3","Ku-ring-gai","Annual","Median age of persons","2001",40,
"New South Wales","Statistical Area Level 3","Ku-ring-gai","Annual","Median age of persons","2006",41,
"New South Wales","Statistical Area Level 3","Ku-ring-gai","Annual","Median age of persons","2011",41,
"New South Wales","Statistical Area Level 3","North Sydney - Mosman","Annual","Median age of persons","2001",35,
"New South Wales","Statistical Area Level 3","North Sydney - Mosman","Annual","Median age of persons","2006",37,
"New South Wales","Statistical Area Level 3","North Sydney - Mosman","Annual","Median age of persons","2011",37,
"New South Wales","Statistical Area Level 3","Manly","Annual","Median age of persons","2001",36,
"New South Wales","Statistical Area Level 3","Manly","Annual","Median age of persons","2006",37,
"New South Wales","Statistical Area Level 3","Manly","Annual","Median age of persons","2011",37,
"New South Wales","Statistical Area Level 3","Pittwater","Annual","Median age of persons","2001",38,
"New South Wales","Statistical Area Level 3","Pittwater","Annual","Median age of persons","2006",40,
"New South Wales","Statistical Area Level 3","Pittwater","Annual","Median age of persons","2011",42,
"New South Wales","Statistical Area Level 3","Warringah","Annual","Median age of persons","2001",37,
"New South Wales","Statistical Area Level 3","Warringah","Annual","Median age of persons","2006",37,
"New South Wales","Statistical Area Level 3","Warringah","Annual","Median age of persons","2011",38,
"New South Wales","Statistical Area Level 3","Camden","Annual","Median age of persons","2001",30,
"New South Wales","Statistical Area Level 3","Camden","Annual","Median age of persons","2006",32,
"New South Wales","Statistical Area Level 3","Camden","Annual","Median age of persons","2011",33,
"New South Wales","Statistical Area Level 3","Campbelltown (NSW)","Annual","Median age of persons","2001",30,
"New South Wales","Statistical Area Level 3","Campbelltown (NSW)","Annual","Median age of persons","2006",32,
"New South Wales","Statistical Area Level 3","Campbelltown (NSW)","Annual","Median age of persons","2011",33,
"New South Wales","Statistical Area Level 3","Wollondilly","Annual","Median age of persons","2001",33,
"New South Wales","Statistical Area Level 3","Wollondilly","Annual","Median age of persons","2006",35,
"New South Wales","Statistical Area Level 3","Wollondilly","Annual","Median age of persons","2011",37,
"New South Wales","Statistical Area Level 3","Blue Mountains","Annual","Median age of persons","2001",37,
"New South Wales","Statistical Area Level 3","Blue Mountains","Annual","Median age of persons","2006",39,
"New South Wales","Statistical Area Level 3","Blue Mountains","Annual","Median age of persons","2011",41,
"New South Wales","Statistical Area Level 3","Blue Mountains - South","Annual","Median age of persons","2001",0,
"New South Wales","Statistical Area Level 3","Blue Mountains - South","Annual","Median age of persons","2006",0,
"New South Wales","Statistical Area Level 3","Blue Mountains - South","Annual","Median age of persons","2011",39,
"New South Wales","Statistical Area Level 3","Penrith","Annual","Median age of persons","2001",30,
"New South Wales","Statistical Area Level 3","Penrith","Annual","Median age of persons","2006",32,
"New South Wales","Statistical Area Level 3","Penrith","Annual","Median age of persons","2011",34,
"New South Wales","Statistical Area Level 3","Richmond - Windsor","Annual","Median age of persons","2001",30,
"New South Wales","Statistical Area Level 3","Richmond - Windsor","Annual","Median age of persons","2006",32,
"New South Wales","Statistical Area Level 3","Richmond - Windsor","Annual","Median age of persons","2011",34,
"New South Wales","Statistical Area Level 3","St Marys","Annual","Median age of persons","2001",30,
"New South Wales","Statistical Area Level 3","St Marys","Annual","Median age of persons","2006",32,
"New South Wales","Statistical Area Level 3","St Marys","Annual","Median age of persons","2011",33,
"New South Wales","Statistical Area Level 3","Auburn","Annual","Median age of persons","2001",32,
"New South Wales","Statistical Area Level 3","Auburn","Annual","Median age of persons","2006",31,
"New South Wales","Statistical Area Level 3","Auburn","Annual","Median age of persons","2011",31,
"New South Wales","Statistical Area Level 3","Carlingford","Annual","Median age of persons","2001",37,
"New South Wales","Statistical Area Level 3","Carlingford","Annual","Median age of persons","2006",38,
"New South Wales","Statistical Area Level 3","Carlingford","Annual","Median age of persons","2011",39,
"New South Wales","Statistical Area Level 3","Merrylands - Guildford","Annual","Median age of persons","2001",33,
"New South Wales","Statistical Area Level 3","Merrylands - Guildford","Annual","Median age of persons","2006",34,
"New South Wales","Statistical Area Level 3","Merrylands - Guildford","Annual","Median age of persons","2011",33,
"New South Wales","Statistical Area Level 3","Parramatta","Annual","Median age of persons","2001",34,
"New South Wales","Statistical Area Level 3","Parramatta","Annual","Median age of persons","2006",34,
"New South Wales","Statistical Area Level 3","Parramatta","Annual","Median age of persons","2011",33,
"New South Wales","Statistical Area Level 3","Pennant Hills - Epping","Annual","Median age of persons","2001",38,
"New South Wales","Statistical Area Level 3","Pennant Hills - Epping","Annual","Median age of persons","2006",39,
"New South Wales","Statistical Area Level 3","Pennant Hills - Epping","Annual","Median age of persons","2011",40,
"New South Wales","Statistical Area Level 3","Ryde - Hunters Hill","Annual","Median age of persons","2001",36,
"New South Wales","Statistical Area Level 3","Ryde - Hunters Hill","Annual","Median age of persons","2006",37,
"New South Wales","Statistical Area Level 3","Ryde - Hunters Hill","Annual","Median age of persons","2011",37,
"New South Wales","Statistical Area Level 3","Bringelly - Green Valley","Annual","Median age of persons","2001",30,
"New South Wales","Statistical Area Level 3","Bringelly - Green Valley","Annual","Median age of persons","2006",31,
"New South Wales","Statistical Area Level 3","Bringelly - Green Valley","Annual","Median age of persons","2011",32,
"New South Wales","Statistical Area Level 3","Fairfield","Annual","Median age of persons","2001",33,
"New South Wales","Statistical Area Level 3","Fairfield","Annual","Median age of persons","2006",34,
"New South Wales","Statistical Area Level 3","Fairfield","Annual","Median age of persons","2011",36,
"New South Wales","Statistical Area Level 3","Liverpool","Annual","Median age of persons","2001",31,
"New South Wales","Statistical Area Level 3","Liverpool","Annual","Median age of persons","2006",33,
"New South Wales","Statistical Area Level 3","Liverpool","Annual","Median age of persons","2011",33,
"New South Wales","Statistical Area Level 3","Cronulla - Miranda - Caringbah","Annual","Median age of persons","2001",37,
"New South Wales","Statistical Area Level 3","Cronulla - Miranda - Caringbah","Annual","Median age of persons","2006",38,
"New South Wales","Statistical Area Level 3","Cronulla - Miranda - Caringbah","Annual","Median age of persons","2011",39,
"New South Wales","Statistical Area Level 3","Sutherland - Menai - Heathcote","Annual","Median age of persons","2001",34,
"New South Wales","Statistical Area Level 3","Sutherland - Menai - Heathcote","Annual","Median age of persons","2006",36,
"New South Wales","Statistical Area Level 3","Sutherland - Menai - Heathcote","Annual","Median age of persons","2011",37,
"New South Wales","Statistical Area Level 3","Migratory - Offshore - Shipping (NSW)","Annual","Median age of persons","2001",30,
"New South Wales","Statistical Area Level 3","Migratory - Offshore - Shipping (NSW)","Annual","Median age of persons","2006",41,
"New South Wales","Statistical Area Level 3","Migratory - Offshore - Shipping (NSW)","Annual","Median age of persons","2011",60,
"Victoria","Statistical Area Level 3","Ballarat","Annual","Median age of persons","2001",34,
"Victoria","Statistical Area Level 3","Ballarat","Annual","Median age of persons","2006",35,
"Victoria","Statistical Area Level 3","Ballarat","Annual","Median age of persons","2011",36,
"Victoria","Statistical Area Level 3","Creswick - Daylesford - Ballan","Annual","Median age of persons","2001",38,
"Victoria","Statistical Area Level 3","Creswick - Daylesford - Ballan","Annual","Median age of persons","2006",42,
"Victoria","Statistical Area Level 3","Creswick - Daylesford - Ballan","Annual","Median age of persons","2011",44,
"Victoria","Statistical Area Level 3","Maryborough - Pyrenees","Annual","Median age of persons","2001",41,
"Victoria","Statistical Area Level 3","Maryborough - Pyrenees","Annual","Median age of persons","2006",44,
"Victoria","Statistical Area Level 3","Maryborough - Pyrenees","Annual","Median age of persons","2011",47,
"Victoria","Statistical Area Level 3","Bendigo","Annual","Median age of persons","2001",34,
"Victoria","Statistical Area Level 3","Bendigo","Annual","Median age of persons","2006",36,
"Victoria","Statistical Area Level 3","Bendigo","Annual","Median age of persons","2011",36,
"Victoria","Statistical Area Level 3","Heathcote - Castlemaine - Kyneton","Annual","Median age of persons","2001",39,
"Victoria","Statistical Area Level 3","Heathcote - Castlemaine - Kyneton","Annual","Median age of persons","2006",42,
"Victoria","Statistical Area Level 3","Heathcote - Castlemaine - Kyneton","Annual","Median age of persons","2011",44,
"Victoria","Statistical Area Level 3","Loddon - Elmore","Annual","Median age of persons","2001",41,
"Victoria","Statistical Area Level 3","Loddon - Elmore","Annual","Median age of persons","2006",43,
"Victoria","Statistical Area Level 3","Loddon - Elmore","Annual","Median age of persons","2011",47,
"Victoria","Statistical Area Level 3","Barwon - West","Annual","Median age of persons","2001",36,
"Victoria","Statistical Area Level 3","Barwon - West","Annual","Median age of persons","2006",37,
"Victoria","Statistical Area Level 3","Barwon - West","Annual","Median age of persons","2011",39,
"Victoria","Statistical Area Level 3","Geelong","Annual","Median age of persons","2001",36,
"Victoria","Statistical Area Level 3","Geelong","Annual","Median age of persons","2006",37,
"Victoria","Statistical Area Level 3","Geelong","Annual","Median age of persons","2011",38,
"Victoria","Statistical Area Level 3","Surf Coast - Bellarine Peninsula","Annual","Median age of persons","2001",39,
"Victoria","Statistical Area Level 3","Surf Coast - Bellarine Peninsula","Annual","Median age of persons","2006",41,
"Victoria","Statistical Area Level 3","Surf Coast - Bellarine Peninsula","Annual","Median age of persons","2011",42,
"Victoria","Statistical Area Level 3","Upper Goulburn Valley","Annual","Median age of persons","2001",37,
"Victoria","Statistical Area Level 3","Upper Goulburn Valley","Annual","Median age of persons","2006",40,
"Victoria","Statistical Area Level 3","Upper Goulburn Valley","Annual","Median age of persons","2011",42,
"Victoria","Statistical Area Level 3","Wangaratta - Benalla","Annual","Median age of persons","2001",39,
"Victoria","Statistical Area Level 3","Wangaratta - Benalla","Annual","Median age of persons","2006",41,
"Victoria","Statistical Area Level 3","Wangaratta - Benalla","Annual","Median age of persons","2011",43,
"Victoria","Statistical Area Level 3","Wodonga - Alpine","Annual","Median age of persons","2001",34,
"Victoria","Statistical Area Level 3","Wodonga - Alpine","Annual","Median age of persons","2006",37,
"Victoria","Statistical Area Level 3","Wodonga - Alpine","Annual","Median age of persons","2011",38,
"Victoria","Statistical Area Level 3","Baw Baw","Annual","Median age of persons","2001",36,
